frame,k,outRe_hex,outIm_hex
44,7,FD44,FE72
44,8,00A9,0072
44,9,FBF9,FD44
44,10,04B2,0000
44,11,FCA4,00ED
44,12,FD83,03B3
44,13,00A1,FB3D
44,14,00D5,FDF1
44,15,FE28,0098
45,0,00B7,00A9
45,1,0017,0006
45,2,04F6,0000
45,3,00E4,FCA5
45,4,0877,F968
45,5,FE40,0377
45,6,FFF6,FFAA
45,7,FD23,FF99
45,8,00B7,FF57
45,9,FB17,02CA
45,10,044A,0000
45,11,FB96,FED9
45,12,FB49,0698
45,13,072A,FC89
45,14,FFF6,0056
45,15,FF57,04E9
46,0,FF6B,00B5
46,1,001A,FFFD
46,2,FFFB,0000
46,3,0165,FF74
46,4,FBE7,0301
46,5,FD13,FBAA
46,6,FF00,FDDF
46,7,0266,018C
46,8,FF6B,FF4B
46,9,035C,0337
46,10,FBB9,0000
46,11,02D1,FEDE
46,12,01EB,FCFF
46,13,0071,0456
46,14,FF00,0221
46,15,01D0,0022
47,0,FFC4,FF82
47,1,FFF3,FFFF
47,2,FAAF,0000
47,3,FFCB,02C3
47,4,F528,0831
47,5,002C,FB57
47,6,002F,FF88
47,7,035C,00CD
47,8,FFC4,007E
47,9,0597,FEAB
47,10,F9BF,0000
47,11,04D7,00AD
47,12,058C,F7CF
47,13,F96E,04A9
47,14,002F,0078
47,15,0146,FBC3
48,0,FF69,004D
48,1,FFD3,FFEE
48,2,FAED,0000
48,3,FFDE,02A9
48,4,F4E1,0846
48,5,000C,FB0B
48,6,FF6F,FF44
48,7,039C,0114
48,8,FF69,FFB3
48,9,05B9,FF20
48,10,F975,0000
48,11,052A,0079
48,12,056F,F7BA
48,13,FA0E,04F5
48,14,FF6F,00BC
48,15,016C,FBCA
49,0,0018,FDBD
49,1,FFB7,0019
49,2,FCFD,0000
49,3,FD3E,035A
49,4,022B,FF04
49,5,05F5,040B
49,6,01A1,039C
49,7,FE81,FDE8
49,8,0018,0243
49,9,FE91,F8E3
49,10,0435,0000
49,11,FF08,029E
49,12,0035,00FC
49,13,F9E9,FBF5
49,14,01A1,FC64
49,15,FDC5,FC20
50,0,013A,0180
50,1,004D,FFDD
50,2,08ED,0000
50,3,00B0,FA5A
50,4,10DC,F2D1
50,5,FE7E,0879
50,6,0019,0070
50,7,F993,FE88
50,8,013A,FE80
50,9,F571,0359
50,10,09CD,0000
50,11,F6A2,FE86
50,12,F680,0D2F
50,13,0CC2,F787
50,14,0019,FF90
50,15,FDBF,0898
51,0,FFD7,009D
51,1,0010,002D
51,2,03E5,0000
51,3,01D4,FD46
51,4,038A,FD3C
51,5,FC85,FE96
51,6,FF3E,FDFD
51,7,0020,0105
51,8,FFD7,FF63
51,9,FF9E,049B
51,10,FFDF,0000
51,11,FF6C,FE46
51,12,FE04,02C4
51,13,0553,016A
51,14,FF3E,0203
51,15,0120,036F
52,0,FEEF,FF96
52,1,FFFC,FFF5
52,2,FCCB,0000
52,3,FFC1,0262
52,4,F9B6,050E
52,5,0091,FBF5
52,6,FF84,FF9B
52,7,02FA,00D6
52,8,FEEF,006A
52,9,04D6,FEE3
52,10,FC01,0000
52,11,0451,0080
52,12,03D4,FAF2
52,13,FACF,040B
52,14,FF84,0065
52,15,0118,FC48
53,0,00CD,FF70
53,1,FFE4,FFF5
53,2,FFE6,0000
53,3,FEBD,0075
53,4,0359,FD76
53,5,0297,040B
53,6,0114,01EA
53,7,FDB7,FE84
53,8,00CD,0090
53,9,FCD0,FD1D
53,10,03BA,0000
53,11,FD4B,010F
53,12,FE47,028A
53,13,FFB3,FBF5
53,14,0114,FE16
53,15,FE51,FFF8
54,0,0059,0062
54,1,0021,000E
54,2,0419,0000
54,3,0094,FD66
54,4,0759,FA5E
54,5,FED4,02F3
54,6,FFF7,FFE0
54,7,FD9D,FFA2
54,8,0059,FF9E
54,9,FBFB,01FC
54,10,03D9,0000
54,11,FC64,FF24
54,12,FC17,05A2
54,13,0592,FD0D
54,14,FFF7,0020
54,15,FF5B,03D4
55,0,FFB7,00D2
55,1,0019,0002
55,2,008D,0000
55,3,0176,FEE5
55,4,FD30,01F1
55,5,FCFC,FCB8
55,6,FF1D,FE0E
55,7,01A8,014C
55,8,FFB7,FF2E
55,9,0225,0362
55,10,FCA9,0000
55,11,01BE,FEC9
55,12,0114,FE0F
55,13,0198,0348
55,14,FF1D,01F2
55,15,018C,0106
56,0,FFAC,0008
56,1,FFF7,FFF7
56,2,FA71,0000
56,3,007D,0274
56,4,F272,0A17
56,5,FE98,F940
56,6,FFB7,FE72
56,7,0485,0193
56,8,FFAC,FFF8
