frame,k,outRe_hex,outIm_hex
31,7,0AB3,C037
31,8,7FE3,0000
31,9,0AB3,3FC9
31,10,0ED2,B111
31,11,FDF0,0572
31,12,BFE3,4000
31,13,7296,14B2
31,14,70F4,B111
31,15,8453,4F09
32,0,FFE3,0000
32,1,AD20,E98D
32,2,083D,F7A6
32,3,A408,3C7D
32,4,7FE3,8000
32,5,5D32,3B09
32,6,F789,F7A6
32,7,5132,E819
32,8,FFE3,0000
32,9,5132,17E7
32,10,F789,085A
32,11,5D32,C4F7
32,12,7FE3,8000
32,13,A408,C383
32,14,083D,085A
32,15,AD20,1673
33,0,401F,0000
33,1,F3C0,0BF0
33,2,EE1A,9205
33,3,5623,D25F
33,4,801F,4000
33,5,CA0F,B26B
33,6,1224,9205
33,7,EC8A,EBFC
33,8,C01F,0000
33,9,EC8A,1404
33,10,1224,6DFB
33,11,CA0F,4D95
33,12,801F,C000
33,13,5623,2DA1
33,14,EE1A,6DFB
33,15,F3C0,F410
34,0,C032,0000
34,1,D62C,C537
34,2,5835,27FD
34,3,575D,2F52
34,4,8032,4000
34,5,B5A5,A2B4
34,6,282F,A7FD
34,7,1D9A,3899
34,8,4032,0000
34,9,1D9A,C767
34,10,282F,5803
34,11,B5A5,5D4C
34,12,8032,C000
34,13,575D,D0AE
34,14,5835,D803
34,15,D62C,3AC9
35,0,C000,0000
35,1,176A,BE6A
35,2,95F8,AA08
35,3,368A,BF38
35,4,4000,0000
35,5,3F34,497A
35,6,6A08,2A08
35,7,72D8,48AC
35,8,C000,0000
35,9,72D8,B754
35,10,6A08,D5F8
35,11,3F34,B686
35,12,4000,0000
35,13,368A,40C8
35,14,95F8,55F8
35,15,176A,4196
36,0,FFFA,0000
36,1,3E35,4406
36,2,12B9,AD41
36,3,1304,B1DB
36,4,BFFA,4000
36,5,EA4E,B47D
36,6,ED3B,2D41
36,7,C461,46A8
36,8,7FFA,0000
36,9,C461,B958
36,10,ED3B,D2BF
36,11,EA4E,4B83
36,12,BFFA,C000
36,13,1304,4E25
36,14,12B9,52BF
36,15,3E35,BBFA
37,0,0019,0000
37,1,735E,2D27
37,2,1D3D,62DC
37,3,D0B0,16FB
37,4,8019,0000
37,5,B480,11FD
37,6,62F5,E2DC
37,7,07D6,2829
37,8,0019,0000
37,9,07D6,D7D7
37,10,62F5,1D24
37,11,B480,EE03
37,12,8019,0000
37,13,D0B0,E905
37,14,1D3D,9D24
37,15,735E,D2D9
38,0,7FF7,0000
38,1,8DA7,A8C0
38,2,01DF,FE18
38,3,9117,7964
38,4,7FF7,0000
38,5,445B,A3E0
38,6,FE0F,FE18
38,7,9CC3,D33C
38,8,7FF7,0000
38,9,9CC3,2CC4
38,10,FE0F,01E8
38,11,445B,5C20
38,12,7FF7,0000
38,13,9117,869C
38,14,01DF,01E8
38,15,8DA7,5740
39,0,7FC5,0000
39,1,7CB0,4439
39,2,8765,F860
39,3,657E,8B3B
39,4,7FC5,0000
39,5,4F9C,D5AB
39,6,7825,F860
39,7,CD4A,8EA9
39,8,7FC5,0000
39,9,CD4A,7157
39,10,7825,07A0
39,11,4F9C,2A55
39,12,7FC5,0000
39,13,657E,74C5
39,14,8765,07A0
39,15,7CB0,BBC7
40,0,3FB1,0000
40,1,78E3,91F5
40,2,A082,5F2F
40,3,5462,6C4C
40,4,FFB1,C000
40,5,577C,BFD0
40,6,5EE0,5F2F
40,7,DA03,E579
40,8,BFB1,0000
40,9,DA03,1A87
40,10,5EE0,A0D1
40,11,577C,4030
40,12,FFB1,4000
40,13,5462,93B4
40,14,A082,A0D1
40,15,78E3,6E0B
41,0,403C,0000
41,1,73C5,E2F2
41,2,18F9,6743
41,3,8E3A,C88D
41,4,803C,C000
41,5,C57C,F54F
41,6,677F,E743
41,7,3975,0FB4
41,8,C03C,0000
41,9,3975,F04C
41,10,677F,18BD
41,11,C57C,0AB1
41,12,803C,4000
41,13,8E3A,3773
41,14,18F9,98BD
41,15,73C5,1D0E
42,0,0066,0000
42,1,858E,2A33
42,2,032B,BD3B
42,3,5D85,EE1A
42,4,C066,C000
42,5,BC83,54DE
42,6,7DA1,BD3B
42,7,6202,90F7
42,8,8066,0000
42,9,6202,6F09
42,10,7DA1,42C5
42,11,BC83,AB22
42,12,C066,4000
42,13,5D85,11E6
42,14,032B,42C5
42,15,858E,D5CD
43,0,3FED,0000
43,1,2912,EFE6
43,2,FBFA,83F3
43,3,6D9F,1CE1
43,4,7FED,C000
43,5,B6D1,784B
43,6,83E0,03F3
43,7,B232,4B50
43,8,BFED,0000
43,9,B232,B4B0
43,10,83E0,FC0D
43,11,B6D1,87B5
43,12,7FED,4000
43,13,6D9F,E31F
43,14,FBFA,7C0D
43,15,2912,101A
44,0,BFC6,0000
44,1,B051,3E8C
44,2,32BF,4D07
44,3,686E,2727
44,4,FFC6,C000
44,5,016C,3CD9
44,6,4CCD,CD07
44,7,E4ED,543E
44,8,3FC6,0000
44,9,E4ED,ABC2
44,10,4CCD,32F9
44,11,016C,C327
44,12,FFC6,4000
44,13,686E,D8D9
44,14,32BF,B2F9
44,15,B051,C174
45,0,8026,0000
45,1,C6F3,1CEB
45,2,456A,3ABC
45,3,2001,2015
45,4,8026,0000
45,5,A31B,5D45
45,6,BAE2,3ABC
45,7,7689,5A1B
45,8,8026,0000
45,9,7689,A5E5
45,10,BAE2,C544
45,11,A31B,A2BB
45,12,8026,0000
45,13,2001,DFEB
45,14,456A,C544
45,15,C6F3,E315
46,0,0035,0000
46,1,0C93,FD02
46,2,4579,3ABC
46,3,C027,0E80
46,4,8035,0000
46,5,6BED,62D6
46,6,3AF1,BABC
46,7,C82D,5158
46,8,0035,0000
46,9,C82D,AEA8
46,10,3AF1,4544
46,11,6BED,9D2A
46,12,8035,0000
46,13,C027,F180
46,14,4579,C544
46,15,0C93,02FE
47,0,BFE0,0000
47,1,8F6D,6C9D
47,2,CA22,F5BE
47,3,CF75,5CA9
47,4,3FE0,8000
47,5,996B,7389
47,6,B59E,F5BE
47,7,0733,837D
47,8,BFE0,0000
47,9,0733,7C83
47,10,B59E,0A42
47,11,996B,8C77
47,12,3FE0,8000
47,13,CF75,A357
47,14,CA22,0A42
47,15,8F6D,9363
48,0,BFC4,0000
48,1,C863,D867
48,2,4BEE,73D6
48,3,E383,6E8D
48,4,BFC4,8000
48,5,87C7,02CB
48,6,B39A,F3D6
48,7,CB63,6CA5
48,8,BFC4,0000
48,9,CB63,935B
48,10,B39A,0C2A
48,11,87C7,FD35
48,12,BFC4,8000
48,13,E383,9173
48,14,4BEE,8C2A
48,15,C863,2799
49,0,7FC2,0000
49,1,C105,64C5
49,2,8762,F860
49,3,C607,F6F9
49,4,FFC2,0000
49,5,D673,DA03
49,6,F822,7860
49,7,A189,47CF
