frame,k,outRe_hex,outIm_hex
31,12,FFF5,FFE7
31,13,FFE4,000C
31,14,FF42,009D
31,15,0585,FC71
32,0,0990,0000
32,1,F9CF,04E8
32,2,011A,FECE
32,3,0003,0019
32,4,FFE6,001E
32,5,FFE1,001D
32,6,FFDA,000E
32,7,FFD9,0008
32,8,FFD4,0000
32,9,FFD9,FFF8
32,10,FFDA,FFF2
32,11,FFE1,FFE3
32,12,FFE6,FFE2
32,13,0003,FFE7
32,14,011A,0132
32,15,F9CF,FB18
33,0,1242,0000
33,1,F6A8,FBC3
33,2,00D3,0120
33,3,001E,0008
33,4,0013,FFFB
33,5,000A,FFFA
33,6,000F,FFFC
33,7,000C,FFFD
33,8,000C,0000
33,9,000C,0003
33,10,000F,0004
33,11,000A,0006
33,12,0013,0005
33,13,001E,FFF8
33,14,00D3,FEE0
33,15,F6A8,043D
34,0,023C,0000
34,1,0082,FBBF
34,2,FF67,00D4
34,3,0002,FFF2
34,4,0021,FFED
34,5,0018,FFF6
34,6,001F,FFF4
34,7,0020,FFFB
34,8,001E,0000
34,9,0020,0005
34,10,001F,000C
34,11,0018,000A
34,12,0021,0013
34,13,0002,000E
34,14,FF67,FF2C
34,15,0082,0441
35,0,FE64,0000
35,1,0141,031F
35,2,FFBA,FED4
35,3,FFFC,000A
35,4,FFFC,0012
35,5,FFFC,0002
35,6,FFF2,0008
35,7,FFF4,0003
35,8,FFF4,0000
35,9,FFF3,FFFD
35,10,FFF2,FFF8
35,11,FFFC,FFFE
35,12,FFFC,FFEE
35,13,FFFC,FFF6
35,14,FFBA,012C
35,15,0140,FCE1
36,0,07DA,0000
36,1,FB06,FF4E
36,2,00D2,0050
36,3,0014,0004
36,4,FFFA,FFFC
36,5,0000,0006
36,6,FFFC,FFFA
36,7,0002,0000
36,8,FFFE,0000
36,9,0002,0000
36,10,FFFC,0006
36,11,0000,FFFA
36,12,FFFA,0004
36,13,0014,FFFC
36,14,00D2,FFB0
36,15,FB06,00B2
37,0,FD51,0000
37,1,01CF,FB6F
37,2,FFAD,0100
37,3,0009,FFEA
37,4,0017,FFE0
37,5,0021,FFE4
37,6,0027,FFEE
37,7,0027,FFF9
37,8,0029,0000
37,9,0027,0007
37,10,0027,0012
37,11,0021,001C
37,12,0017,0020
37,13,0009,0016
37,14,FFAD,FF00
37,15,01CF,0491
38,0,EA2A,0000
38,1,0B0A,FDF2
38,2,FF38,0076
38,3,FFE5,FFD7
38,4,0004,FFDC
38,5,001D,FFE1
38,6,0024,FFEE
38,7,0024,FFF4
38,8,0026,0000
38,9,0024,000C
38,10,0024,0012
38,11,001D,001F
38,12,0004,0024
38,13,FFE5,0029
38,14,FF38,FF8A
38,15,0B0A,020E
39,0,E471,0000
39,1,0F11,0607
39,2,FDF2,FF53
39,3,FFA6,FFEB
39,4,FFDD,000C
39,5,FFDE,0019
39,6,FFD8,0017
39,7,FFCB,0009
39,8,FFD1,0000
39,9,FFCB,FFF7
39,10,FFD8,FFE9
39,11,FFDE,FFE7
39,12,FFDD,FFF4
39,13,FFA6,0015
39,14,FDF2,00AD
39,15,0F11,F9F9
40,0,1090,0000
40,1,F407,0DB6
40,2,02B3,FC50
40,3,000B,0053
40,4,FFD3,000B
40,5,FF8B,008F
40,6,FFAB,0008
40,7,FFA3,000E
40,8,FF9E,0000
40,9,FFA3,FFF2
40,10,FFAB,FFF8
40,11,FF8B,FF71
40,12,FFD3,FFF5
40,13,000B,FFAD
40,14,02B3,03B0
40,15,F407,F24A
41,0,2619,0000
41,1,EC63,F581
41,2,0191,02EF
41,3,004E,0019
41,4,0022,0023
41,5,0046,FF8F
41,6,FFF1,0029
41,7,0029,FFF3
41,8,001F,0000
41,9,0029,000D
41,10,FFF1,FFD7
41,11,0046,0071
41,12,0022,FFDD
41,13,004E,FFE7
41,14,0191,FD11
41,15,EC63,0A7F
42,0,FD11,0000
42,1,04B6,F5B5
42,2,FE97,0205
42,3,0009,FFD3
42,4,002E,FFB3
42,5,0039,FFF9
42,6,0069,FFD9
42,7,0058,FFF3
42,8,0053,0000
42,9,0058,000D
42,10,0069,0027
42,11,0039,0007
42,12,002E,004D
42,13,0009,002D
42,14,FE97,FDFB
42,15,04B6,0A4B
43,0,EC82,0000
43,1,0B38,06E7
43,2,FE5F,FDC6
43,3,FFE6,0001
43,4,FFF1,000D
43,5,FFF8,001F
43,6,FFE5,FFFC
43,7,FFE6,0009
43,8,FFEC,0000
43,9,FFE6,FFF7
43,10,FFE5,0004
43,11,FFF8,FFE1
43,12,FFF1,FFF3
43,13,FFE6,FFFF
43,14,FE5F,023A
43,15,0B38,F919
44,0,0AB0,0000
44,1,F82D,0581
44,2,0189,FF40
44,3,000F,0014
44,4,FFD7,002F
44,5,FFCB,000C
44,6,FFC9,0024
44,7,FFC5,0009
44,8,FFC6,0000
44,9,FFC5,FFF7
44,10,FFC9,FFDC
44,11,FFCB,FFF4
44,12,FFD7,FFD1
44,13,000F,FFEC
44,14,0189,00C0
44,15,F82D,FA7F
45,0,1287,0000
45,1,F613,FA64
45,2,0146,0146
45,3,0017,FFFC
45,4,0014,FFF5
45,5,0017,FFF0
45,6,0028,FFF4
45,7,001B,FFF8
45,8,001D,0000
45,9,001B,0008
45,10,0028,000C
45,11,0017,0010
45,12,0014,000B
45,13,0017,0004
45,14,0146,FEBA
45,15,F613,059C
46,0,F745,0000
46,1,0681,F986
46,2,FE9A,014E
46,3,0001,FFE2
46,4,0026,FFD1
46,5,0033,FFE8
46,6,003C,FFE4
46,7,0037,FFF4
46,8,003B,0000
46,9,0037,000C
46,10,003C,001C
46,11,0033,0018
46,12,0026,002F
46,13,0001,001E
46,14,FE9A,FEB2
46,15,0681,067A
47,0,E8C8,0000
47,1,0B16,02A4
47,2,FF82,FEFC
47,3,FFDC,FFE6
47,4,FFFA,FFF0
47,5,000A,FFE8
47,6,0006,FFF8
47,7,0018,FFFA
47,8,000C,0000
47,9,0018,0006
47,10,0006,0008
47,11,000A,0018
47,12,FFFA,0010
47,13,FFDC,001A
47,14,FF82,0104
47,15,0B16,FD5C
48,0,E8B2,0000
48,1,0B92,01C6
48,2,FEEF,009F
48,3,FFC2,FFED
48,4,FFEA,0004
48,5,FFE4,0011
48,6,FFE3,0005
48,7,FFE0,0006
48,8,FFE6,0000
48,9,FFE0,FFFA
48,10,FFE3,FFFB
48,11,FFE4,FFEF
48,12,FFEA,FFFC
48,13,FFC2,0013
48,14,FEEF,FF61
48,15,0B92,FE3A
49,0,031B,0000
49,1,FD7E,0E47
49,2,005C,FBB3
49,3,FFF2,002F
49,4,FFED,0086
49,5,FF7C,FFFD
49,6,FFD4,0039
49,7,FFA4,000D
49,8,FFAB,0000
49,9,FFA4,FFF3
49,10,FFD4,FFC7
49,11,FF7C,0003
49,12,FFED,FF7A
49,13,FFF2,FFD1
49,14,005C,044D
49,15,FD7E,F1B9
50,0,254F,0000
50,1,EADE,F956
50,2,02AC,02CE
50,3,0040,0008
50,4,FFD4,FFF1
50,5,005A,004E
50,6,FFC8,FFCE
50,7,0004,0008
50,8,FFF9,0000
50,9,0004,FFF8
50,10,FFC8,0032
50,11,005A,FFB2
50,12,FFD4,000F
50,13,0040,FFF8
50,14,02AC,FD32
50,15,EADE,06AA
51,0,077D,0000
51,1,FEE8,F6BB
51,2,FF68,0140
51,3,FFFF,0002
51,4,0066,FFD1
51,5,0021,FFA8
51,6,0046,0006
51,7,0054,FFF1
51,8,0053,0000
51,9,0054,000F
51,10,0046,FFFA
51,11,0021,0058
51,12,0066,002F
51,13,FFFF,FFFE
51,14,FF68,FEC0
51,15,FEE8,0945
52,0,F1B4,0000
52,1,09B2,023D
52,2,FDD4,FF29
52,3,0002,FFF3
52,4,0005,000F
52,5,FFF6,0009
52,6,000A,FFFD
52,7,FFFA,0003
52,8,FFFE,0000
52,9,FFFA,FFFD
52,10,000A,0003
52,11,FFF6,FFF7
52,12,0005,FFF1
52,13,0002,000D
52,14,FDD4,00D7
52,15,09B2,FDC3
53,0,075C,0000
53,1,F9CE,05CE
53,2,01CD,FEE8
53,3,FFE5,0009
53,4,FFDF,0025
53,5,FFE3,001F
53,6,FFCD,0008
53,7,FFD2,0008
53,8,FFD2,0000
53,9,FFD2,FFF8
53,10,FFCD,FFF8
53,11,FFE3,FFE1
53,12,FFDF,FFDB
53,13,FFE5,FFF7
53,14,01CD,0118
53,15,F9CE,FA32
54,0,0FDB,0000
54,1,F7DF,FC01
54,2,00A9,00BE
54,3,002A,0011
54,4,000F,FFF2
54,5,0019,FFF5
54,6,0009,FFFA
54,7,0017,FFF9
54,8,0013,0000
54,9,0017,0007
54,10,0009,0006
54,11,0018,000B
54,12,000F,000E
54,13,0029,FFEF
54,14,00A9,FF42
54,15,F7DF,03FF
55,0,FA48,0000
55,1,040F,F92F
55,2,FF33,018E
55,3,0009,FFD9
55,4,002D,FFD1
55,5,0029,FFD5
55,6,003B,FFEA
55,7,003B,FFF3
55,8,003A,0000
55,9,003B,000D
55,10,003B,0016
55,11,0029,002B
55,12,002D,002F
55,13,0009,0027
55,14,FF33,FE72
55,15,040F,06D1
56,0,E34D,0000
56,1,0E2F,FF50
56,2,FF32,FFF4
56,3,FFCE,FFD5
56,4,000A,FFCD
56,5,0020,FFE7
56,6,0026,FFE4
56,7,0027,FFF6
56,8,0027,0000
56,9,0027,000A
56,10,0026,001C
56,11,0020,0019
56,12,000A,0033
56,13,FFCE,002B
56,14,FF32,000C
56,15,0E2F,00B0
57,0,DD50,0000
57,1,129B,05A2
57,2,FDB5,FFF8
57,3,FF9D,FFE0
57,4,FFDB,001B
57,5,FFC7,0022
57,6,FFC5,0014
57,7,FFC9,0008
57,8,FFC6,0000
57,9,FFC9,FFF8
57,10,FFC5,FFEC
57,11,FFC7,FFDE
57,12,FFDB,FFE5
57,13,FF9D,0020
57,14,FDB5,0008
57,15,129B,FA5E
58,0,1252,0000
58,1,F2A0,13E1
58,2,0302,F9F7
58,3,000B,005B
58,4,FF8B,007D
58,5,FFBB,0023
58,6,FF84,003B
58,7,FF8E,0021
58,8,FF84,0000
58,9,FF8E,FFDF
58,10,FF84,FFC5
58,11,FFBB,FFDD
58,12,FF8B,FF83
58,13,000B,FFA5
58,14,0302,0609
58,15,F2A0,EC1F
59,0,2E6C,0000
59,1,E7BA,EF55
59,2,0209,0583
59,3,0061,000A
59,4,0034,FFC0
59,5,FFFB,0034
59,6,004D,FFBD
59,7,001E,FFFF
59,8,0028,0000
59,9,001E,0001
59,10,004D,0043
59,11,FFFB,FFCC
59,12,0034,0040
59,13,0061,FFF6
59,14,0209,FA7D
59,15,E7BA,10AB
60,0,F92C,0000
60,1,07F5,F809
60,2,FDFC,008B
60,3,FFF5,FFE1
60,4,0045,FFE3
60,5,0075,FFB7
60,6,0044,FFE1
60,7,0055,FFF3
60,8,0062,0000
60,9,0055,000D
60,10,0044,001F
60,11,0075,0049
60,12,0045,001D
60,13,FFF5,001F
60,14,FDFC,FF75
60,15,07F5,07F7
61,0,F22E,0000
61,1,07EA,0820
61,2,FE95,FDB9
61,3,FFFE,0006
61,4,FFDE,0022
61,5,FFDA,0016
61,6,FFDB,0025
61,7,FFD6,0000
61,8,FFD6,0000
61,9,FFD6,0000
61,10,FFDB,FFDB
61,11,FFDA,FFEA
61,12,FFDE,FFDE
61,13,FFFE,FFFA
61,14,FE95,0247
61,15,07EA,F7E0
62,0,113C,0000
62,1,F458,0244
62,2,0263,0040
62,3,FFFD,0008
62,4,FFE9,0017
62,5,FFD5,0020
62,6,FFD7,0010
62,7,FFDA,0004
62,8,FFD6,0000
62,9,FFDA,FFFC
62,10,FFD7,FFF0
62,11,FFD5,FFE0
62,12,FFE9,FFE9
62,13,FFFD,FFF8
62,14,0263,FFC0
62,15,F458,FDBC
63,0,0E0C,0000
63,1,F9AA,FA56
63,2,004E,00B2
63,3,0023,0011
63,4,0026,FFEA
63,5,002E,FFE9
63,6,001E,FFE6
